"Časová pečiatka","Did you experience any crashes/problems during your session?","Please elaborate on the problems you experienced.","Was everything clear to you when playing?","Please elaborate, what was not clear during the gameplay.","Was the mode fun to play?","What did you enjoy?","What didn't you enjoy?","Please write first 3 issues, that come to your mind","How many hours did you spent playing the mode?"
"2022/11/18 2:00:14 PM SEČ","Yes","The game crashed in loading screen","No","Reward for the mission is just for Optional objectives, there is no base pay. Info about prestige objectives is hidden.","4","Fresh mode, Rogue style, Different types of syndicates, new mechanics, safehouse","losing all my tools, no base payout, few voice lines","no base payout, info about prestige objectives, which weapons can I bring","48"
"2022/11/19 12:55:45 PM SEČ","No","","Yes","","4","Safehouse customization and unlocks // having a new gamemode and new experiences on maps I already know // Using the suspect camera to track the status of suspects","Losing unlocked Freelancer tools after failing a campaign // having more than 8 suspects in showdown missions  // unreasonable challenges like ""Eliminate 10000 members"" or ""Eliminate 1000 leaders"" ","I don't fully understand the question. If it's mean't to ask for three negative things, then see the ""What didn't you enjoy?"" section","25"
"2022/11/19 1:37:40 PM SEČ","Yes","I experienced a single crash while leaving a successful mission. After reloading, the mission was completed and there was no other issues.","Yes","","4","I enjoyed a whole lot of it, but if I had to name a couple of particular features, the showdowns (especially the 12-suspect one) had a wonderful bit of tension and feeling of accomplishment afterward. Meanwhile, the safehouse customisation makes it feel very personalised. The challenges appearing on the bookcases is a beautiful touch, can't wait to fill the shelves in the final version.","There's two things:
* Some non-showdowns had targets impractical to use without emetics, like the people betting on the auction in Paris.
* Dying removed all tools in the safehouse briefcases, which makes no sense.","Spelling errors in a lot of places, like ""desguises"" on the alerted territory info.
The bedroom is claimed to be unlocked at mastery level 24 but it's actually at 31
Losing half of the merces every time the user exits to menu.","15.1 hours"
"2022/11/19 5:07:12 PM SEČ","Yes","connection problem","Yes","","4","the game mode, weapon arsenal ","if you die, you lose half of the hard earn merces + 10k kill, GOAT challange wtf","if you die, you lose half of the hard earn merces + 10k kill, GOAT challange wtf","15 hours"
"2022/11/19 10:06:32 PM SEČ","Yes","One of the disguises in Whittelton Creek was horribly glitching out, and killing an NPC with explosive I've picked up from NPC instead of one I've brought with myself did not count as objective complete, despite the fact it was remote explosive. ","Yes","","4","Collecting items to my glass display","Showdowns, they took forever to complete. ","- Not being paid just for hit
- Overlaping requirements in contracts
- Lookouts alerting targets and them fleeing scene immediaedly","20"
"2022/11/20 3:04:52 AM SEČ","No","","No","Didn’t know how to get silent assassin. Game felt non hitman like. Where’s the SA tracker?","4","Making money, the randomness, ","Didn’t feel like hitman. Felt like assassins creed. SA should be the highest reward (money and exp). If I have to kill guards, make them targets too so i retain SA. But of course, make them optional objectives but again, I still kill the main target and still retain SA if I follow the SA parameters. ","


No SA
No SA
No SA","100"
"2022/11/20 10:04:50 AM SEČ","No","","Yes","","4","The collect-a-thin feeling of gettign all the weapons and tools","The fact that you can lose weapons and will lose tools","Roguelike is too punishing
Losing stuff feels bad when you have a completionists dream wall
Later syndicate leader missions were too full of targets","10"
"2022/11/20 11:07:18 AM SEČ","No","","Yes","","5","progression of items , new inventory system .the ability to buy weapons . SA is not a necessity ","rng on crates on the map ","lack of base mercers payout . not having of persistent mercers on almost all maps , massive loss if losing a campaign ","35"
"2022/11/21 10:41:06 AM SEČ","Yes","After I completed showdown and returned to safehouse game crashed ","Yes","","4","Safehouse, Camera as useful utility at last, timed challenges ","Too many suspects, enforcers, assassins in small map like Whittleton Creek
Losing all of my tools, little bit too harsh 
No base payout ","Sometimes explosives work sometimes don't ","32"
"2022/11/21 4:30:26 PM SEČ","No","","Yes","","4","Safehouse, fresh mode, some fun objectives,plays differently than main game, no SA restrictions ","Expected more customizations in safehouse, no base pay, some objectives collide ","Prestige objectives and syndicate ones are conflicting ( Bug or feature ?)
Lose half my merces when exiting game...
Bugs with lightning in safehouse ","40"
"2022/11/21 5:15:59 PM SEČ","No","","No","It was not clear how some of the optional objectives were supposed to be completed.","5","I loved the challenge of a restricted load out with the ability to build up my arsenal. ","I didn’t like that my tools did not stick around after each campaign. I also didn’t like that the leaders fled the final mission so quickly—they spooked too easily. ","Guns/tools are expensive for how easy it can be to lose them. 
The campaigns scale in difficulty too quickly. 
Optional objectives need to be clearer and matched to opportunities in that specific mission. ","6"
